source,review_id,label,span_text,sentence,start,end,score
Amazon,711,PLACE,Portland,There was a video they made that i saw late one night on Portland public access.,57,65,0.8470097184181213
Amazon,711,PLACE,Portland Oregon,"From Portland Oregon, and easily one of the best of the mid 90's Portland bands, Thirty Ought Six still somehow wound up relatively unknown nationally.",5,20,0.8825411200523376
Amazon,711,PLACE,Portland,"From Portland Oregon, and easily one of the best of the mid 90's Portland bands, Thirty Ought Six still somehow wound up relatively unknown nationally.",65,73,0.7857887744903564
Amazon,711,PERSON,Ryan Paravecchio,"""Cotillion"" is a stand-out song on the album and has no words.Equally unique is the mad drumming of Ryan Paravecchio.",100,116,0.9522354602813721
Amazon,8705,PERSON,Cinderella,"Ew, ew, and ew!What I'm trying to say is that this is a fairy tale as gruesome as gruesome (perhaps more) than those like Cinderella before being watered down to be made suitable for small children.",122,132,0.850569486618042
Amazon,8705,PLACE,magical lands,"I don't know what your magical lands resembled in your youth, but mine were very alive and equally frightening and they made the dark reality of the world less so.",23,36,0.7286157011985779
Amazon,4111,PERSON,ABBA,ALL IN ALL AN ALBUM THAT EVEN ABBA WOULD HAVE TROUBLE TRYING TOO TOP.,30,34,0.8422966003417969
Amazon,6262,PERSON,Swann,Swann found out that the pirates were cursed.,0,5,0.9529399871826172
Amazon,10889,PERSON,NANCY WHISKEY,THE CHAS MCDEVITT SKIFFLE GROUP FEATURING NANCY WHISKEY - GREENBACK DOLLAR14.,42,55,0.893286406993866
Amazon,10889,PERSON,BERYL BRYDEN,BERYL BRYDEN'S BACKROOM SKIFFLE - CASEY JONES7.,0,12,0.8209301829338074
Amazon,10889,PERSON,CASEY JONES7,BERYL BRYDEN'S BACKROOM SKIFFLE - CASEY JONES7.,34,46,0.8378801345825195
Amazon,10889,PERSON,JOHNNY DUNCAN,JOHNNY DUNCAN AND HIS BLUE GRASS BOYS - FOOTPRINTS IN THE SNOW5.,0,13,0.9552448987960815
Amazon,8767,PLACE,Monument,"This second step to posterity is represented also on lengthy jam sessions, which appeared in 1971 under the moniker ""Monument"" -First Monumentbecause of legal issues (the musicians are not credited with their names either).",117,125,0.7917786836624146
Amazon,8767,PLACE,Monumentbecause,"This second step to posterity is represented also on lengthy jam sessions, which appeared in 1971 under the moniker ""Monument"" -First Monumentbecause of legal issues (the musicians are not credited with their names either).",134,149,0.7719907760620117
Amazon,8767,PERSON,Zior,"According to ""Zior"" it was .",14,18,0.8333133459091187
Amazon,3345,PERSON,Simon Rattle,This recording with Simon Rattle and the Birmingham Orchestra is UTTERLY spectacular.,20,32,0.972079873085022
Amazon,3345,PERSON,Henze,"I was devastated, but Henze said, Clearly he thought very highly of my talents, but that was typical of him.",22,27,0.9710456728935242
Amazon,12226,PERSON,actors,"The songs, being sung by actors, take on a more natural and less ""stagey"" sound, which certainly helps heighten the feelings within the music, and makes them pack a far harder emotional wallop.",25,31,0.7756240367889404
Amazon,10480,PERSON,Gaga,"`Bad Romance' is a tad overplayed, and it never really sat with me as pristine Gaga (I still prefer tracks like `LoveGame' or `Poker Face') but `Telephone' was the big `WOW' moment for me.",79,83,0.8214322924613953
Amazon,10480,PERSON,Gaga,I wasn't a fan of Gaga's from the start.,18,22,0.8300726413726807
Amazon,8476,PERSON,Marcelo Ruiz,"Occasionally, drummer Marcelo Ruiz will also wander to one extreme or another - throwing out speedy blast beats or dropping the metal completely and engaging in full out fusion.",22,34,0.9659636616706848
Amazon,12160,PERSON,man,I think it's the supposed bravery of a man who announces to everyone that he's about to be racist or make light of retarded people.,39,42,0.7760693430900574
Amazon,12160,PERSON,Jeselnik,"I really enjoyedShakespeare, Jeselnik's first album.",29,37,0.9300684332847595
Amazon,7734,PLACE,Paris,"During the 1770's in Paris, a French style of string quartet composition emerged, advanced by Gossec, Vachon, Cambini, and Joseph Boulogne, Chevalier de St.",21,26,0.9428863525390625
Amazon,7734,PERSON,Gossec,"During the 1770's in Paris, a French style of string quartet composition emerged, advanced by Gossec, Vachon, Cambini, and Joseph Boulogne, Chevalier de St.",94,100,0.8985654711723328
Amazon,7734,PERSON,Vachon,"During the 1770's in Paris, a French style of string quartet composition emerged, advanced by Gossec, Vachon, Cambini, and Joseph Boulogne, Chevalier de St.",102,108,0.9161857962608337
Amazon,7734,PERSON,Cambini,"During the 1770's in Paris, a French style of string quartet composition emerged, advanced by Gossec, Vachon, Cambini, and Joseph Boulogne, Chevalier de St.",110,117,0.8993833661079407
Amazon,7734,PERSON,Joseph Boulogne,"During the 1770's in Paris, a French style of string quartet composition emerged, advanced by Gossec, Vachon, Cambini, and Joseph Boulogne, Chevalier de St.",123,138,0.9538676738739014
Amazon,7734,PERSON,solo voice,"While the solo voice takes the spotlight, the other three instruments usually provide a simple accompaniment, often repeated staccato notes.",10,20,0.6761530637741089
Amazon,10423,PERSON,Scott Ian,"For those who like Anthrax period, who love the way Scott Ian's wrist moves, and the feel of Charlie Benante's kick drum, this is an absolutely great album that you shouldn't hesitate to check out or allow the history behind it to spoil your enjoyment of.",52,61,0.9530520439147949
Amazon,10423,PERSON,Charlie Benante,"For those who like Anthrax period, who love the way Scott Ian's wrist moves, and the feel of Charlie Benante's kick drum, this is an absolutely great album that you shouldn't hesitate to check out or allow the history behind it to spoil your enjoyment of.",93,108,0.8962576985359192
Amazon,2207,PERSON,Melartin,"In the end, it is a rewarding work (but not always easy to grasp), but the reason for that seems primarily to be that Melartin relatively often lets the nature painting style of his earlier symphonies shine through.",118,126,0.8962845206260681
Amazon,3494,PERSON,Meston Reid,"Meston Reid's rollicking ""Were I a King"" is brought vibrantly to life by singer and instruments alike.",0,11,0.9588689804077148
Amazon,3494,PERSON,Julia Jellicoe,"You don't even question it when all the women show up and want to marry him, he's got personality.The good part of the album, though, is the Prima Donna Julia Jellicoe, played by Julia Goss to vain perfection, and Meston Reid as Ernest Dummkopf.",153,167,0.8934633731842041
Amazon,3494,PERSON,Julia Goss,"You don't even question it when all the women show up and want to marry him, he's got personality.The good part of the album, though, is the Prima Donna Julia Jellicoe, played by Julia Goss to vain perfection, and Meston Reid as Ernest Dummkopf.",179,189,0.7914041876792908
Amazon,3494,PERSON,Meston Reid,"You don't even question it when all the women show up and want to marry him, he's got personality.The good part of the album, though, is the Prima Donna Julia Jellicoe, played by Julia Goss to vain perfection, and Meston Reid as Ernest Dummkopf.",214,225,0.8301274180412292
Amazon,3494,PERSON,Ernest Dummkopf,"You don't even question it when all the women show up and want to marry him, he's got personality.The good part of the album, though, is the Prima Donna Julia Jellicoe, played by Julia Goss to vain perfection, and Meston Reid as Ernest Dummkopf.",229,244,0.8481307029724121
Amazon,2312,PERSON,Gilels,"Gilels/Reiner will stand up to rehearing after rehearing, year after year, and continue to show new marvels.",0,6,0.809273362159729
Amazon,2312,PERSON,Sviatoslav Richter,It was eclipsed in RCA's catalog by Sviatoslav Richter's recording of the piece in 1960 with the same orchestra under Eric Leinsdorf (Reiner was supposed to conduct but was ill).,36,54,0.9452025890350342
Amazon,2312,PERSON,Eric Leinsdorf,It was eclipsed in RCA's catalog by Sviatoslav Richter's recording of the piece in 1960 with the same orchestra under Eric Leinsdorf (Reiner was supposed to conduct but was ill).,118,132,0.9222021698951721
Amazon,2312,PERSON,Reiner,It was eclipsed in RCA's catalog by Sviatoslav Richter's recording of the piece in 1960 with the same orchestra under Eric Leinsdorf (Reiner was supposed to conduct but was ill).,134,140,0.690416693687439
Amazon,2312,PERSON,Richter,Richter's recording got huge publicity and critical praise.,0,7,0.9157323241233826
Amazon,9152,PERSON,Chuck,Guys like Chuck and KRS need to reclaim hip hop from the pimps and hos who are perpetuating a very embarassing characature of it.,10,15,0.8876075148582458
Amazon,9152,PERSON,KRS,Guys like Chuck and KRS need to reclaim hip hop from the pimps and hos who are perpetuating a very embarassing characature of it.,20,23,0.9156433343887329
Amazon,9152,PERSON,Chuck D,"Yeah, I'd probably sell a kidney for that album.Chuck D, I still thank you.",48,55,0.9705528020858765
Amazon,4461,PERSON,woman,"It starts with a love song, is followed up by a track about a woman who leaves her man and then ends with a breakup.",62,67,0.9119124412536621
Amazon,4461,PERSON,Hector,"But I digress.One of Hector's best solo albums, Que Sentimiento is one of the few albums done without Willie Colon's pressence.",21,27,0.7600252628326416
Amazon,4461,PERSON,Willie Colon,"But I digress.One of Hector's best solo albums, Que Sentimiento is one of the few albums done without Willie Colon's pressence.",102,114,0.9602377414703369
Amazon,11561,PLACE,YouTube,"Considering that the US media gives no press to baroque music, YouTube has become my reliable source to learn about new releases.",63,70,0.6541582942008972
Amazon,11561,PERSON,Nitocri,"She in the role of Nitocri is the most distinctive character conjuring up a woman conflicted between mercy and vendetta, being a forgiving step-mother and her biological son's avenger.",19,26,0.8594902157783508
Amazon,11561,PERSON,Sunhae Im,"She amalgamates the moment when inanimate air meets human breath and breeds it into beautiful singing.Sunhae Im in the title role of Sesostri is awesome, sweetly melodic, and has the virtuosity to infuse enough ornamentation that no bars are ever sung alike.",102,111,0.9632546305656433
Amazon,5363,PLACE,Diagon Alley,"For example, the original music for the Diagon Alley sequence had more ""oomph"" to it, and gave it a sense of jolly enthusiasm remarkably symbolic of how Harry must have felt visiting that venue for the first time.",40,52,0.9171491861343384
Amazon,5363,PERSON,Harry,"For example, the original music for the Diagon Alley sequence had more ""oomph"" to it, and gave it a sense of jolly enthusiasm remarkably symbolic of how Harry must have felt visiting that venue for the first time.",153,158,0.9589862823486328
Amazon,5363,PERSON,Harry,The entire soundtrack - as track-listed here - builds up in a wicked crescendo that easily sweeps one of his feet and transports him back to the magic of Harry's world.,154,159,0.8643753528594971
Amazon,5363,PERSON,Mr.,"But still, Mr.",11,14,0.7014184594154358
Amazon,5048,PERSON,Miles,WATER BABIES was Miles giving a fond farewell as his ship slipped from the docks of the old world.,17,22,0.9721860885620117
Amazon,5048,PLACE,old world,WATER BABIES was Miles giving a fond farewell as his ship slipped from the docks of the old world.,88,97,0.8118584752082825
Amazon,5048,PERSON,Chick Corea,"Certainly nothing to deserve the ""death threats"" Davis would garner in the next several years.The remaining three cuts bring Chick Corea and his electronic keyboards into the mix.",125,136,0.960811197757721
Amazon,6402,PERSON,Elisabeth Wallfisch,Elisabeth Wallfisch is an accomplished violinist with excellent technique and usually a sweet toned agility to her playing.,0,19,0.9794356822967529
Amazon,6402,PERSON,Viotti,The Schubert Rondo and Viotti's usually accessible music seemed welcoming.,23,29,0.7781215906143188
Amazon,783,PERSON,Pettersson,"Pettersson very effectively weaves a compelling narrative out of simple tonal materials and melodic cells, that builds up to a moment of seeming epiphany, breaking through to serenity.",0,10,0.9573104381561279
Amazon,3435,PERSON,Beethoven,"05-17-2014  When it comes to Beethoven's piano music, I always think of the great Alfred Brendel on Philips records.",29,38,0.7855663895606995
Amazon,3435,PERSON,Alfred Brendel,"05-17-2014  When it comes to Beethoven's piano music, I always think of the great Alfred Brendel on Philips records.",82,96,0.9380696415901184
Amazon,9122,PERSON,Josie Mel,"On the whole, though, this is a strong follow-up to RASTA STILL DEH BOUT, worth at least an Amazon star for each of these reasons: 1) Josie Mel's mostly on-target vocal delivery, 2) Pam Hall's PERFECT backup singing, and 3) at long, long last, some new sounds from producer Brotherman.",134,143,0.956812858581543
Amazon,9122,PERSON,Pam Hall,"On the whole, though, this is a strong follow-up to RASTA STILL DEH BOUT, worth at least an Amazon star for each of these reasons: 1) Josie Mel's mostly on-target vocal delivery, 2) Pam Hall's PERFECT backup singing, and 3) at long, long last, some new sounds from producer Brotherman.",182,190,0.9683858156204224
Amazon,9122,PERSON,Brotherman,"On the whole, though, this is a strong follow-up to RASTA STILL DEH BOUT, worth at least an Amazon star for each of these reasons: 1) Josie Mel's mostly on-target vocal delivery, 2) Pam Hall's PERFECT backup singing, and 3) at long, long last, some new sounds from producer Brotherman.",274,284,0.6951500177383423
Amazon,9122,PERSON,Lutan Fyah,"Next, Lutan Fyah returns for THIS WHOLE WORLD on the great BODO rhythm, another strong combination - though RASTA STILL DEH BOUT must still rank as the pair's biggest statement to date.",6,16,0.9546377658843994
Amazon,9122,PERSON,M7F5,"Going by M7F5's recent record, we'll probably get all of these plus ten more.",9,13,0.7526941299438477
Amazon,9171,PERSON,MacKenzie14,MacKenzie14.,0,11,0.7654374837875366
Amazon,5486,PERSON,Ludwig,"I detected a bobble or two in the brass playing, but otherwise the orchestra is as perfectly Viennese as anyone could ask for.In the bonus tracks Ludwig sings Brunnhilde's Immolation Scene under Knappertsbusch from 1963 in Hamburg.",146,152,0.9457055926322937
Amazon,5486,PERSON,Brunnhilde,"I detected a bobble or two in the brass playing, but otherwise the orchestra is as perfectly Viennese as anyone could ask for.In the bonus tracks Ludwig sings Brunnhilde's Immolation Scene under Knappertsbusch from 1963 in Hamburg.",159,169,0.8318139314651489
Amazon,5486,PERSON,Knappertsbusch,"I detected a bobble or two in the brass playing, but otherwise the orchestra is as perfectly Viennese as anyone could ask for.In the bonus tracks Ludwig sings Brunnhilde's Immolation Scene under Knappertsbusch from 1963 in Hamburg.",195,209,0.8797616362571716
Amazon,5486,PLACE,Hamburg,"I detected a bobble or two in the brass playing, but otherwise the orchestra is as perfectly Viennese as anyone could ask for.In the bonus tracks Ludwig sings Brunnhilde's Immolation Scene under Knappertsbusch from 1963 in Hamburg.",223,230,0.9536066651344299
Amazon,5486,PERSON,Ludwig,"Fanciers of this opera will rejoice at Ludwig's triumph in Ariadne's most difficult aria, &#34;Es gibt ein Reich&#34; despite a squeezed high note or two.The rest of the cast is uniformly strong - nothing less would have prevailed at Salzburg during the golden era.",39,45,0.9115797281265259
Amazon,5486,PERSON,Ariadne,"Fanciers of this opera will rejoice at Ludwig's triumph in Ariadne's most difficult aria, &#34;Es gibt ein Reich&#34; despite a squeezed high note or two.The rest of the cast is uniformly strong - nothing less would have prevailed at Salzburg during the golden era.",59,66,0.9170486330986023
Amazon,5486,PLACE,Salzburg,"Fanciers of this opera will rejoice at Ludwig's triumph in Ariadne's most difficult aria, &#34;Es gibt ein Reich&#34; despite a squeezed high note or two.The rest of the cast is uniformly strong - nothing less would have prevailed at Salzburg during the golden era.",234,242,0.9507977366447449
Amazon,3041,PERSON,Doug Hawkins,"These are very early, pre-RVG Blue Notes recorded by Doug Hawkins at WOR studios on acetate discs, not tape.",53,65,0.9670034646987915
Amazon,3041,PLACE,WOR studios,"These are very early, pre-RVG Blue Notes recorded by Doug Hawkins at WOR studios on acetate discs, not tape.",69,80,0.8020438551902771
Amazon,9593,PERSON,THEODORE BIKEL,"And if but one song from among the fifteen in this album will be given life in a similar fashion, then that will have been reason enough for me to have sung at all.THEODORE BIKEL",164,178,0.9575889110565186
Amazon,9593,PLACE,kibbutz,"As far back as my days in the kibbutz (communal settlement) , I had marveled at the many hues and colors, at the varied smells and rhythms which the Hebrew song alone seemed capable of expressing.",30,37,0.9100924730300903
