doc_id,rule_name,category,span_text,context
129,BODY,BODY,body,given us a body of work to
129,PLACE,PLACE,School,"from the Mannheim School. Born in Eichstatt,"
217,BODY,BODY,hearing,the beginning of hearing this collection sounds
217,BODY,BODY,hearing,to it after hearing the later string
217,PERSON,PERSON,fans,so important for fans of the composer.
234,BODY,BODY,hand,"On the other hand, since Browning doesn't"
236,BODY,BODY,physically,this sense of physically reveling in sound
236,PLACE,PLACE,school,"of the ""Polish school"" of Penderecki and"
237,BODY,BODY,body,"small, exquisitely crafted body of music. On"
237,BODY,BODY,hearing,"is well worth hearing.Diversions: ""Charming"" is how"
237,BODY,BODY,heart,has as much heart and soul as
238,PLACE,PLACE,room,"performance was standing room only, as was"
238,PLACE,PLACE,City,in New York City. John Aler serves
238,PERSON,PERSON,listeners,the most critical listeners possible for this
238,PERSON,PERSON,Singers,by the Young Singers of Pennsylvania under
238,PERSON,PERSON,singers,dozens of extra singers were recruited to
238,PERSON,PERSON,Singers,"and the Young Singers. According to Keene,"
239,PLACE,PLACE,University,"beauty.Dr Jacques COULARDEAU, University of Perpignan"
239,PERSON,PERSON,artist,typical 19th century artist and thinker who
240,BODY,BODY,eyes,his head. All eyes turned to the
240,BODY,BODY,throat,"box.Hogwood-Blofeld cleared his throat.""Jeggy delenda est -"
240,BODY,BODY,arm,raised his right arm to shoulder height
240,BODY,BODY,blood,crowd bayed for blood but it was
240,PLACE,PLACE,club,"with a fearsome-looking club.""Number One, we who"
242,PLACE,PLACE,University,Hall at the University of California.Harmonia Mundi
243,BODY,BODY,hearing,"with excellent results, hearing a voice such"
244,BODY,BODY,hand,"On the one hand, I am very"
244,PERSON,PERSON,fans,"for experienced classical fans, as the 1st"
245,BODY,BODY,heart,"priest from the heart of the nave,"
245,BODY,BODY,body,suffering of the body into one single
245,BODY,BODY,blood,as the exhilarating blood of the Christ
245,PLACE,PLACE,University,"CE.Dr Jacques COULARDEAU, University Paris Dauphine, University"
245,PLACE,PLACE,University,"University Paris Dauphine, University Paris 1 Pantheon"
245,PLACE,PLACE,University,Pantheon Sorbonne & University Versailles Saint Quentin
245,PERSON,PERSON,people,"to make God's people react, reach up"
245,PERSON,PERSON,people,"welcoming and greeting people who need us,"
250,BODY,BODY,hearing,emotions I feel hearing The Art of
250,BODY,BODY,hearing,"that one is hearing, but those notes"
250,PERSON,PERSON,fans,very colorful. Bach fans who prefer the
250,PERSON,PERSON,fans,"But other Bach fans, who firmly believe"
251,BODY,BODY,hand,of Fugue in hand. The late Lucas
251,MEMORY,MEMORY,I remember,"I remember Bill Malloch,"
251,MEMORY,MEMORY,I recall,Centuries. One detail I recall is how
251,MEMORY,MEMORY,memories of,revisit all these memories of mine with
